id,gender,age,dependents,lifetime,phone_services,internet_services,online_streaming,multiple_connections,premium_plan,online_protect,contract_plan,ebill_services,default_payment,monthly_charges,issues,exit_status
1689,Male,30-45,Yes,7,No,3G,Major User,,No,Yes,Month-to-month,No,Physical,58.85,2,No
794,Female,18-30,No,6,No,3G,Major User,,No,No,Month-to-month,No,Auto-payment,45,6,No
4211,Male,>60,No,24,Yes,4G,Major User,Yes,No,Yes,Month-to-month,Yes,Auto-payment,102.95,22,Yes
3318,Male,18-30,No,10,No,3G,No,,No,Yes,Month-to-month,No,Physical,29.5,28,Yes
5245,Female,30-45,Yes,70,Yes,,,No,,,Two year,Yes,Auto-payment,20.15,13,No
6446,Male,45-60,Yes,58,Yes,4G,No,Yes,Yes,No,One year,Yes,Auto-payment,89.85,10,No
4269,Male,30-45,No,17,Yes,4G,No,Yes,No,Yes,Month-to-month,No,Auto-payment,90.2,29,Yes
5818,Male,18-30,No,65,Yes,,Major User,Yes,No,Yes,Two year,No,Auto-payment,105.1,6,No
3385,Male,18-30,No,12,Yes,4G,Major User,Yes,No,No,Month-to-month,Yes,Online Transfer,96.05,20,Yes
2795,Female,>60,No,9,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Online Transfer,74.55,28,Yes
4275,Female,18-30,No,1,Yes,None,,Yes,,,Month-to-month,Yes,Physical,25.75,6,No
4868,Female,30-45,No,37,Yes,,Major User,Yes,No,Yes,Month-to-month,Yes,Online Transfer,99.5,20,Yes
3259,Female,18-30,No,6,Yes,4G,No,No,No,No,Month-to-month,No,Auto-payment,70.55,16,No
1645,Female,>60,No,42,Yes,4G,Sometimes,Yes,No,No,Month-to-month,Yes,Online Transfer,84.65,16,Yes
4703,Male,45-60,No,24,Yes,,No,Yes,No,No,Month-to-month,Yes,Online Transfer,78.85,16,Yes
1969,Female,18-30,No,60,No,3G,Major User,,No,Yes,Two year,No,Online Transfer,53.6,3,No
3613,Male,>60,No,55,No,3G,Major User,,No,Yes,One year,Yes,Auto-payment,50.05,999,No
582,Female,>60,No,4,Yes,4G,Sometimes,Yes,No,Yes,Month-to-month,Yes,Online Transfer,89.2,17,Yes
5121,Male,18-30,No,29,Yes,,Sometimes,Yes,No,Yes,One year,No,Auto-payment,70.9,8,No
3586,Male,18-30,No,5,No,3G,No,,Yes,Yes,Month-to-month,No,Physical,40,16,Yes
2432,Female,45-60,No,50,Yes,None,,Yes,,,One year,No,Online Transfer,25.2,11,No
978,Male,45-60,No,62,Yes,4G,Major User,Yes,No,Yes,One year,Yes,Online Transfer,103.75,27,Yes
1669,Female,18-30,No,8,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Auto-payment,74.6,10,No
4768,Male,45-60,Yes,71,Yes,None,,No,,,Two year,No,Auto-payment,19.8,18,No
1496,Male,18-30,No,3,Yes,,,No,,,Month-to-month,Yes,Online Transfer,2000,13,No
3692,Female,30-45,Yes,3,Yes,,Sometimes,Yes,No,Yes,Month-to-month,Yes,Auto-payment,69.15,14,No
5876,Female,>60,No,1,Yes,4G,Sometimes,No,No,No,Month-to-month,Yes,Online Transfer,86,28,Yes
6976,Female,30-45,No,62,Yes,3G,Sometimes,No,No,Yes,Two year,Yes,Auto-payment,72,15,No
4325,Male,18-30,No,1,Yes,None,,No,,,Month-to-month,No,Auto-payment,20.75,3,No
440,Female,30-45,Yes,16,Yes,4G,Major User,Yes,Yes,Yes,Month-to-month,Yes,Online Transfer,112.95,9,No
3780,Male,30-45,Yes,55,Yes,3G,No,No,Yes,Yes,Two year,Yes,Auto-payment,55.25,6,No
985,Female,45-60,No,33,Yes,4G,No,Yes,No,No,Month-to-month,Yes,Auto-payment,80.6,26,Yes
2536,Male,18-30,No,25,Yes,None,,Yes,,,One year,No,Auto-payment,25.3,17,Yes
2042,Female,>60,No,28,Yes,3G,No,Yes,Yes,Yes,Month-to-month,No,Auto-payment,64.45,19,No
1396,Female,18-30,No,64,Yes,4G,Major User,Yes,No,Yes,One year,Yes,Auto-payment,100.05,17,Yes
